final_courses_unique_names,,
institution,name,Fee
University of Pennsylvania,Introduction to Operations Management,79
University of Pennsylvania,The Oral Cavity: Portal to Health and Disease,79
Johns Hopkins University,Fundamental Neuroscience for Neuroimaging,39
Lund University,European Business Law: Understanding the Fundamentals,49
Berklee College of Music,Music Business Foundations,39
University of Washington,Machine Learning Foundations: A Case Study Approach,49
University of Pennsylvania,Accounting Analytics,79
Yale University,Roman Architecture,49
The University of Edinburgh,Research Data Management and Sharing,49
Johns Hopkins University,Introduction to Genomic Technologies,39
Copenhagen Business School,Strategic Management,49
IBM,Cybersecurity Compliance Framework & System Administration,49
Duke University,Introduction to Chemistry:  Reactions and Ratios,49
American Museum of Natural History,The Science of Stem Cells,49
Advancing Women in Product,The Business of Product Management I,79
University of Pennsylvania,Positive Psychology: Resilience Skills,79
Universidade de São Paulo,UX / UI: Fundamentos para o design de interface,29
University of Colorado System,EMT Foundations,49
IBM,"Penetration Testing, Incident Response and Forensics",49
University of Colorado System,Database Management Essentials,49
Duke University,Advertising and Society,49
The Chinese University of Hong Kong,Everyday Chinese Medicine,49
Stanford University,Fundamentals of Machine Learning for Healthcare,79
Universitat de Barcelona,Magic in the Middle Ages,49
University of Lausanne,Challenging Forensic Science: How Science Should Speak to Court,49
University of Pennsylvania,Exploring Renewable Energy Schemes,49
University of Alberta,Paleontology: Theropod Dinosaurs and the Origin of Birds,65
"University of California, Irvine",Getting Started with Essay Writing,49
Universidad Nacional Autónoma de México,Actualización en el manejo del paciente con diabetes mellitus tipo 2,49
LearnQuest,Mastering Final Cut Pro,49
University of Pennsylvania,Removing Barriers to Change,95
University of Virginia,Managing an Agile Team,79
Universiteit Leiden,International Law in Action: A Guide to the International Courts and Tribunals in The Hague,49
Universidad de Chile,"Competencias Laborales: Perfiles, Evaluación y Capacitación.",49
Imperial College London,Mathematics for Machine Learning: PCA,49
University of California San Diego,Object Oriented Programming in Java,49
University of Colorado Boulder,Embedded Software and Hardware Architecture,99
Wesleyan University,Memoir and Personal Essay: Managing Your Relationship with the Reader,39
Pontificia Universidad Católica de Chile,Hacia una práctica constructivista en el aula,49
University of Virginia,Hypothesis-Driven Development,79
University of Illinois at Urbana-Champaign,Accounting Data Analytics with Python,49
University of Manchester   ,Introduction to Molecular Spectroscopy,49
"University of California, Davis",Managing as a Coach,49
University of Alberta,Indigenous Canada,49
Yale University,The Science of Well-Being,49
Google,Technical Support Fundamentals,49
